[DATETIME_KEY],AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,BCHEUR,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURHUF,EURJPY,EURNZD,EURPLN,EURRUB,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,GOLD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,PLATINUM,SILVER,USDCAD,USDCHF,USDCNH,USDCZK,USDJPY,USDMXN,USDPLN,USDRON,USDRUB,WTI
2020.12.10T12:16:00,-1,-2,-2,1,-2,2,-1,-2,-1,1,-1,-2,1,1,-1,1,-1,2,-1,1,-1,-1,-1,1,-1,-2,-2,-2,-2,-2,-2,-2,2,1,2,1,1,1,1,1,1,1
2020.12.10T12:17:00,-2,-1,1,-1,1,-1,-1,2,1,1,-1,-1,-1,-1,1,-1,2,-1,1,1,1,1,2,1,2,-1,1,1,2,1,-1,-1,-2,-1,-1,-1,1,-1,1,-1,-1,-1
2020.12.10T12:18:00,1,-1,-1,2,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-2,-2,-1,-2,-1,-1,-1,-1,-1,-2,-1,2,1,2,1,1,1,1,1,2,-1
2020.12.10T12:19:00,-1,-2,-2,-1,-2,-2,-2,-2,1,2,1,1,1,-1,-1,1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-2,-1,2,-1,1,-1,-1,2,-1,-1,-1,2
2020.12.10T12:20:00,1,2,1,-1,2,1,2,1,-1,-2,-1,-1,-1,1,-1,-2,-1,-2,-1,-1,-1,1,-1,-1,1,-1,1,2,1,2,1,-1,-2,1,2,1,-1,-2,1,1,-2,1
2020.12.10T12:21:00,-2,-1,-1,-1,-2,1,2,2,1,1,-1,-1,-1,2,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-2,-2,-1,-1,-1,-1,-2,-2,1,-2,1,1,2,1,1,-1,-1
2020.12.10T12:22:00,-2,-1,-1,-1,-1,1,2,2,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,-2,-1,-1,-1,1,-1,-2,1,1,-1,1,-1,1,-1,1,-1
2020.12.10T12:23:00,1,1,2,1,2,1,-1,2,1,-1,1,1,1,-2,1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,2,1,1,1,-1,-1,-2,-1,2,-1,-1,-1,-2,-1
2020.12.10T12:24:00,-2,-1,-1,-1,-2,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-2,-1,2,1,1,1,2,1,-1,-1,-1,-1,-2,1,-1,1,1,1,-1,1,-1,1,1,-2,-1
2020.12.10T12:25:00,1,2,-1,-1,1,1,1,-1,-2,-2,-1,-1,-2,-1,-1,-2,1,-1,-1,1,1,2,1,1,1,1,1,2,-1,1,1,1,1,2,1,1,-1,2,2,1,1,-1
